bbox285,image21,edge
tagTarmac,bbox286,edge
bbox286,image21,edge
tagAsphalt,bbox287,edge
bbox287,image21,edge
tagRoad,bbox288,edge
bbox288,image21,edge
tagIntersection,bbox289,edge
bbox289,image21,edge
tagAutomobile,bbox290,edge
bbox290,image21,edge
tagVehicle,bbox291,edge
bbox291,image21,edge
tagCar,bbox292,edge
bbox292,image21,edge
tagCar,bbox293,edge
bbox293,image21,edge
tagCar,bbox294,edge
bbox294,image21,edge
tagCar,bbox295,edge
bbox295,image21,edge
tagTransportation,bbox296,edge
bbox296,image21,edge
tagOutdoors,bbox297,edge
bbox297,image21,edge
bbox282,bbox284,relationships,80,above
bbox282,bbox283,relationships,81,above
bbox282,bbox285,relationships,82,above
bbox284,bbox285,relationships,83,behind
bbox283,bbox285,relationships,84,behind
bbox284,bbox282,relationships,85,under
bbox283,bbox282,relationships,86,under
bbox283,bbox284,relationships,87,next to
bbox284,bbox283,relationships,88,next to
bbox285,bbox282,relationships,89,under
country,state of,edge
state of,city of,edge
city of,image21,edge
modeliPhone 5s,image22,edge
tagPlant,bbox298,edge
bbox298,image22,edge
tagTree,bbox299,edge
bbox299,image22,edge
tagAbies,bbox300,edge
bbox300,image22,edge
tagFir,bbox301,edge
bbox301,image22,edge
tagConifer,bbox302,edge
bbox302,image22,edge
tagNature,bbox303,edge
bbox303,image22,edge
tagOutdoors,bbox304,edge
bbox304,image22,edge
countryUnited States of America,stateWashington,edge
stateWashington,citySnoqualmie Pass,edge
citySnoqualmie Pass,image22,edge
modelXT1575,image23,edge
tagFace,bbox305,edge
bbox305,image23,edge
tagTree,bbox306,edge
bbox306,image23,edge
tagPerson,bbox307,edge
bbox307,image23,edge
tagSki,bbox308,edge
bbox308,image23,edge
tagSki,bbox309,edge
bbox309,image23,edge
tagPerson,bbox310,edge
bbox310,image23,edge
tagTree,bbox311,edge
bbox311,image23,edge
tagPants,bbox312,edge
bbox312,image23,edge
tagJacket,bbox313,edge
bbox313,image23,edge
tagPlant,bbox314,edge
bbox314,image23,edge
tagTree,bbox315,edge
bbox315,image23,edge
tagHuman,bbox316,edge
bbox316,image23,edge
tagPerson,bbox317,edge
bbox317,image23,edge
tagNature,bbox318,edge
bbox318,image23,edge
tagOutdoors,bbox319,edge
bbox319,image23,edge
tagFir,bbox320,edge
bbox320,image23,edge
tagAbies,bbox321,edge
bbox321,image23,edge
tagSnow,bbox322,edge
bbox322,image23,edge
tagPiste,bbox323,edge
bbox323,image23,edge
tagSports,bbox324,edge
bbox324,image23,edge
tagSport,bbox325,edge
bbox325,image23,edge
bbox312,bbox310,relationships,90,on
bbox310,bbox313,relationships,91,wear
bbox310,bbox312,relationships,92,wear
bbox313,bbox310,relationships,93,on
bbox313,bbox312,relationships,94,above
bbox311,bbox310,relationships,95,behind
bbox312,bbox313,relationships,96,below
bbox310,bbox311,relationships,97,in the front of
bbox310,bbox312,relationships,98,has
bbox312,bbox313,relationships,99,under
country,state of,edge
state of,city of,edge
city of,image23,edge
modelEVA-L19,image24,edge
tagPerson,bbox326,edge
bbox326,image24,edge
tagTree,bbox327,edge
bbox327,image24,edge
tagFace,bbox328,edge
bbox328,image24,edge
tagPerson,bbox329,edge
bbox329,image24,edge
tagSky,bbox330,edge
bbox330,image24,edge
tagTree,bbox331,edge
bbox331,image24,edge
tagTree,bbox332,edge
bbox332,image24,edge
tagTrees,bbox333,edge
bbox333,image24,edge
tagRubble,bbox334,edge
bbox334,image24,edge
tagPlant,bbox335,edge
bbox335,image24,edge
tagAbies,bbox336,edge
bbox336,image24,edge
tagTree,bbox337,edge
bbox337,image24,edge
tagFir,bbox338,edge
bbox338,image24,edge
tagPerson,bbox339,edge
bbox339,image24,edge
tagHuman,bbox340,edge
bbox340,image24,edge
tagOutdoors,bbox341,edge
bbox341,image24,edge
bbox333,bbox329,relationships,100,behind
bbox330,bbox329,relationships,101,above
bbox330,bbox332,relationships,102,above
bbox330,bbox331,relationships,103,above
bbox330,bbox333,relationships,104,above
bbox329,bbox333,relationships,105,in the front of
bbox332,bbox329,relationships,106,behind
bbox332,bbox333,relationships,107,behind
bbox331,bbox329,relationships,108,behind
